"gene_name","old_annotation","pfams","GOs"
"LOC105423025","translation initiation factor IF-2, mitochondrial isoform X1","PF00009|Elongation factor Tu GTP binding domain; PF11987|Translation-initiation factor 2","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105426605","uncharacterized protein LOC105426605",NA,NA
"LOC105426559","facilitated trehalose transporter Tret1 isoform X3","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426559","facilitated trehalose transporter Tret1 isoform X1","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426559","facilitated trehalose transporter Tret1 isoform X2","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426559","facilitated trehalose transporter Tret1 isoform X4","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426658","LOW QUALITY PROTEIN: vacuolar protein sorting-associated protein 18 homolog","PF00637|Region in Clathrin and VPS; PF05131|Pep3/Vps18/deep orange family","GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport"
"LOC112552290","uncharacterized protein LOC112552290, partial",NA,NA
"LOC105422453","uncharacterized protein LOC105422453","PF17921|Integrase zinc binding domain",NA
"LOC112552262","uncharacterized protein LOC112552262",NA,NA
"LOC105422578","histone acetyltransferase KAT2B-like","PF00439|Bromodomain","GO:0005515|protein binding"
"LOC105429446","uncharacterized protein LOC105429446, partial","PF18701|Family of unknown function (DUF5641); PF17921|Integrase zinc binding domain",NA
"LOC105424801","kelch-like protein 10","PF01344|Kelch motif","GO:0005515|protein binding"
"LOC105424094","lachesin-like, partial","PF00047|Immunoglobulin domain; PF07679|Immunoglobulin I-set domain",NA
"LOC105422494","D-2-hydroxyglutarate dehydrogenase, mitochondrial-like","PF01565|FAD binding domain","GO:0016491|oxidoreductase activity; GO:0050660|flavin adenine dinucleotide binding"
"LOC105422235","uncharacterized protein LOC105422235","PF03564|Protein of unknown function (DUF1759)",NA
"LOC105422236","uncharacterized protein LOC105422236","PF13359|DDE superfamily endonuclease",NA
"LOC105422234","uncharacterized protein LOC105422234",NA,NA
"LOC105422237","uncharacterized protein F54H12.2-like",NA,NA
"LOC105433541","uncharacterized protein LOC105433541",NA,NA
"LOC112552214","uncharacterized protein LOC112552214",NA,NA
"LOC112552268","uncharacterized protein LOC112552268, partial",NA,NA
"LOC105429867","uncharacterized protein K02A2.6-like","PF00665|Integrase core domain","GO:0015074|DNA integration"
"LOC105429880","uncharacterized protein LOC105429880",NA,NA
"LOC112552816","uncharacterized protein LOC112552816",NA,NA
"LOC112552817","uncharacterized protein LOC112552817",NA,NA
"LOC105429847","uncharacterized protein LOC105429847",NA,NA
"LOC105429853","uncharacterized protein LOC105429853",NA,NA
"LOC105424458","peroxiredoxin-like","PF00578|AhpC/TSA family; PF10417|C-terminal domain of 1-Cys peroxiredoxin","GO:0016209|antioxidant activity; GO:0016491|oxidoreductase activity; GO:0051920|peroxiredoxin activity"
"LOC105434046","LOW QUALITY PROTEIN: alpha-tocopherol transfer protein-like, partial","PF00650|CRAL/TRIO domain",NA
"LOC105426243","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like","PF00027|Cyclic nucleotide-binding domain",NA
"LOC105433826","LOW QUALITY PROTEIN: histone acetyltransferase KAT2A-like","PF06466|PCAF (P300/CBP-associated factor) N-terminal domain; PF00439|Bromodomain; PF00583|Acetyltransferase (GNAT) family","GO:0004402|histone acetyltransferase activity; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005515|protein binding; GO:0008080|N-acetyltransferase activity"
"LOC105433827","actin, clone 403-like","PF00022|Actin",NA
"LOC105433828","uncharacterized protein LOC105433828","PF15275|PEHE domain",NA
"LOC105433830","solute carrier family 2, facilitated glucose transporter member 1-like isoform X1","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433830","solute carrier family 2, facilitated glucose transporter member 1-like isoform X2","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433830","solute carrier family 2, facilitated glucose transporter member 1-like isoform X3","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433830","solute carrier family 2, facilitated glucose transporter member 1-like isoform X5","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433830","solute carrier family 2, facilitated glucose transporter member 1-like isoform X4","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433834","GTP-binding protein 10 homolog isoform X1","PF01926|50S ribosome-binding GTPase; PF01018|GTP1/OBG","GO:0005525|GTP binding"
"LOC105433834","GTP-binding protein 10 homolog isoform X1","PF01926|50S ribosome-binding GTPase; PF01018|GTP1/OBG","GO:0005525|GTP binding"
"LOC105433834","GTP-binding protein 10 homolog isoform X2","PF01926|50S ribosome-binding GTPase; PF01018|GTP1/OBG","GO:0005525|GTP binding"
"LOC105433833","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial isoform X4","PF00814|tRNA N6-adenosine threonylcarbamoyltransferase",NA
"LOC105433833","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial isoform X3","PF00814|tRNA N6-adenosine threonylcarbamoyltransferase",NA
"LOC105433833","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial isoform X1","PF00814|tRNA N6-adenosine threonylcarbamoyltransferase",NA
"LOC105433833","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial isoform X5","PF00814|tRNA N6-adenosine threonylcarbamoyltransferase",NA
"LOC105433833","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial isoform X2","PF00814|tRNA N6-adenosine threonylcarbamoyltransferase",NA
"LOC105433832","serine/threonine-protein kinase STK11 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433832","serine/threonine-protein kinase STK11 isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433835","39S ribosomal protein L20, mitochondrial","PF00453|Ribosomal protein L20","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation; GO:0019843|rRNA binding"
"LOC105433838","triosephosphate isomerase","PF00121|Triosephosphate isomerase","GO:0004807|triose-phosphate isomerase activity"
"LOC105433838","triosephosphate isomerase","PF00121|Triosephosphate isomerase","GO:0004807|triose-phosphate isomerase activity"
"LOC105433836","INO80 complex subunit C isoform X1","PF08265|YL1 nuclear protein C-terminal domain",NA
"LOC105433836","INO80 complex subunit C isoform X3","PF08265|YL1 nuclear protein C-terminal domain",NA
"LOC105433836","INO80 complex subunit C isoform X2","PF08265|YL1 nuclear protein C-terminal domain",NA
"LOC105433836","INO80 complex subunit C isoform X2","PF08265|YL1 nuclear protein C-terminal domain",NA
"LOC105433839","prostaglandin E synthase 3","PF04969|CS domain",NA
"LOC105433864","uncharacterized protein LOC105433864",NA,NA
"LOC105433841","uncharacterized protein LOC105433841","PF00611|Fes/CIP4, and EFC/F-BAR homology domain; PF14604|Variant SH3 domain","GO:0005515|protein binding"
"LOC105433840","phospholipase A1-like","PF00151|Lipase","GO:0004806|triglyceride lipase activity"
"LOC105433842","exosome component 10","PF08066|PMC2NT (NUC016) domain; PF01612|3'-5' exonuclease; PF00570|HRDC domain","GO:0000176|nuclear exosome (RNase complex); GO:0006396|RNA processing; GO:0003676|nucleic acid binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0008408|3'-5' exonuclease activity; GO:0003676|nucleic acid binding"
"LOC105433843","uncharacterized protein LOC105433843 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433843","uncharacterized protein LOC105433843 isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433843","uncharacterized protein LOC105433843 isoform X4","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433843","uncharacterized protein LOC105433843 isoform X3","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433846","uncharacterized protein LOC105433846","PF14886|FAM183A and FAM183B related",NA
"LOC105433845","spermatogenesis-associated protein 6 isoform X2","PF14909|Spermatogenesis-assoc protein 6",NA
"LOC105433845","spermatogenesis-associated protein 6 isoform X1","PF14909|Spermatogenesis-assoc protein 6",NA
"LOC105433845","spermatogenesis-associated protein 6 isoform X1","PF14909|Spermatogenesis-assoc protein 6",NA
"LOC105433844","nitric oxide-associated protein 1 isoform X2","PF01926|50S ribosome-binding GTPase","GO:0005525|GTP binding"
"LOC105433844","nitric oxide-associated protein 1 isoform X1","PF01926|50S ribosome-binding GTPase","GO:0005525|GTP binding"
"LOC105433847","uncharacterized protein LOC105433847","PF07885|Ion channel",NA
"LOC105433865","two pore potassium channel protein sup-9-like","PF07885|Ion channel",NA
"LOC105433849","potassium channel subfamily K member 1 isoform X3","PF07885|Ion channel",NA
"LOC105433849","uncharacterized protein LOC105433849 isoform X1","PF07885|Ion channel",NA
"LOC105433849","uncharacterized protein LOC105433849 isoform X1","PF07885|Ion channel",NA
"LOC105433849","uncharacterized protein LOC105433849 isoform X1","PF07885|Ion channel",NA
"LOC105433849","uncharacterized protein LOC105433849 isoform X2","PF07885|Ion channel",NA
"LOC105433848","uncharacterized protein LOC105433848 isoform X2",NA,NA
"LOC105433848","uncharacterized protein LOC105433848 isoform X1",NA,NA
"LOC105433852","uncharacterized protein LOC105433852","PF01697|Glycosyltransferase family 92",NA
"LOC105433854","RNA polymerase II subunit A C-terminal domain phosphatase SSU72","PF04722|Ssu72-like protein","GO:0004721|phosphoprotein phosphatase activity; GO:0005634|nucleus; GO:0006397|mRNA processing"
"LOC105433853","large subunit GTPase 1 homolog","PF01926|50S ribosome-binding GTPase","GO:0005525|GTP binding"
"LOC105433855","pre-mRNA 3\\' end processing protein WDR33-like","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105433856","ruvB-like 2","PF06068|TIP49 P-loop domain; PF17856|TIP49 AAA-lid domain","GO:0003678|DNA helicase activity; GO:0005524|ATP binding"
"LOC105433857","serine/threonine-protein kinase BRSK2 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433857","serine/threonine-protein kinase BRSK2 isoform X3","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433857","serine/threonine-protein kinase BRSK2 isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433858","tau-tubulin kinase homolog Asator isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433858","tau-tubulin kinase homolog Asator isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433860","ADP-ribosylation factor-like protein 8B-A","PF00025|ADP-ribosylation factor family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433862","twinfilin isoform X1","PF00241|Cofilin/tropomyosin-type actin-binding protein","GO:0003779|actin binding"
"LOC105433862","twinfilin isoform X2","PF00241|Cofilin/tropomyosin-type actin-binding protein","GO:0003779|actin binding"
"LOC105433861","RPII140-upstream gene protein isoform X2","PF02466|Tim17/Tim22/Tim23/Pmp24 family",NA
"LOC105433861","RPII140-upstream gene protein isoform X1","PF02466|Tim17/Tim22/Tim23/Pmp24 family",NA
"LOC105433861","RPII140-upstream gene protein isoform X1","PF02466|Tim17/Tim22/Tim23/Pmp24 family",NA
"LOC105433863","uncharacterized protein KIAA1109-like, partial",NA,NA
"LOC105432117","aminopeptidase M1-C-like, partial",NA,NA
"LOC105423993","sodium/potassium/calcium exchanger Nckx30C-like","PF01699|Sodium/calcium exchanger protein","GO:0016021|integral component of membrane; GO:0055085|transmembrane transport"
"LOC105431236","uncharacterized protein LOC105431236",NA,NA
"LOC112552899","uncharacterized protein LOC112552899",NA,NA
"LOC105422552","fatty acid synthase-like, partial","PF02801|Beta-ketoacyl synthase, C-terminal domain; PF00698|Acyl transferase domain; PF00109|Beta-ketoacyl synthase, N-terminal domain; PF16197|Ketoacyl-synthetase C-terminal extension",NA
"LOC105424182","centrosomal protein of 290 kDa-like",NA,NA
"LOC105427732","uncharacterized protein LOC105427732",NA,NA
"LOC105424584","uncharacterized protein LOC105424584","PF01607|Chitin binding Peritrophin-A domain","GO:0005576|extracellular region; GO:0008061|chitin binding"
"LOC105429029","uncharacterized protein LOC105429029",NA,NA
"LOC105428951","uncharacterized protein LOC105428951","PF08395|7tm Chemosensory receptor","GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste"
"LOC105431464","uncharacterized protein LOC105431464",NA,NA
"LOC105431471","uncharacterized protein LOC105431471",NA,NA
"LOC112552337","uncharacterized protein LOC112552337",NA,NA
"LOC105424818","matrilysin-like","PF01471|Putative peptidoglycan binding domain; PF00413|Matrixin","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding; GO:0031012|extracellular matrix"
"LOC105423428","uncharacterized protein LOC105423428",NA,NA
"LOC105423439","golgin subfamily A member 6-like protein 1","PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)",NA
"LOC105424404","uncharacterized protein LOC105424404","PF10545|Alcohol dehydrogenase transcription factor Myb/SANT-like",NA
"LOC105425088","adenylate kinase 7-like, partial",NA,NA
"LOC105424215","insulin-degrading enzyme-like, partial","PF00675|Insulinase (Peptidase family M16); PF05193|Peptidase M16 inactive domain",NA
"LOC105422201","piggyBac transposable element-derived protein 4-like","PF13843|Transposase IS4",NA
"LOC105424560","stromelysin-1-like","PF00413|Matrixin","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding; GO:0031012|extracellular matrix"
"LOC105432451","circadian locomoter output cycles protein kaput isoform X1","PF00989|PAS fold; PF14598|PAS domain; PF00010|Helix-loop-helix DNA-binding domain","GO:0006355|regulation of transcription, DNA-templated; GO:0046983|protein dimerization activity"
